subject,priming_amount,group,modality,test,time,cloze,wmc,rec_pre,total_score
30,0,control,FTF,prod1,pre,27,63,6,0
32,0,control,FTF,prod3,immediate,31,50,3,0
32,0,control,FTF,prod2,delayed,31,50,3,2
34,0,control,CMC,prod2,pre,25,52,16,2
35,0,control,FTF,prod3,pre,27,64,6,0
35,0,control,FTF,prod2,delayed,27,64,6,0
36,0,control,CMC,prod2,delayed,18,68,18,0
37,0,control,FTF,prod3,pre,26,94,7,0
42,0,control,FTF,prod3,pre,25,41,6,0
43,0,control,CMC,prod2,pre,28,73,12,0
43,0,control,CMC,prod1,immediate,28,73,12,0
43,0,control,CMC,prod3,delayed,28,73,12,0
45,0,control,CMC,prod1,pre,30,64,6,0
45,0,control,CMC,prod2,immediate,30,64,6,0
47,0,control,CMC,prod2,pre,23,62,4,0
47,0,control,CMC,prod3,immediate,23,62,4,0
47,0,control,CMC,prod1,delayed,23,62,4,0
48,0,control,FTF,prod3,pre,16,64,4,0
48,0,control,FTF,prod1,immediate,16,64,4,0
48,0,control,FTF,prod2,delayed,16,64,4,0
49,0,control,CMC,prod3,pre,28,83,6,0
49,0,control,CMC,prod2,immediate,28,83,6,1
49,0,control,CMC,prod1,delayed,28,83,6,0
50,0,control,CMC,prod3,pre,22,75,4,0
50,0,control,CMC,prod2,immediate,22,75,4,1
50,0,control,CMC,prod1,delayed,22,75,4,0
52,0,control,CMC,prod1,pre,31,83,18,0
126,0,control,CMC,prod1,pre,11,67,5,0
126,0,control,CMC,prod3,immediate,11,67,5,0
126,0,control,CMC,prod2,delayed,11,67,5,0
127,0,control,CMC,prod3,delayed,28,74,6,0
129,0,control,FTF,prod1,immediate,16,51,6,1
129,0,control,FTF,prod3,delayed,16,51,6,4
28,0,control,FTF,prod1,pre,25,89,6,1
29,0,control,FTF,prod1,pre,29,84,4,1
29,0,control,FTF,prod2,immediate,29,84,4,3
31,0,control,FTF,prod1,pre,20,76,3,0
31,0,control,FTF,prod2,immediate,20,76,3,1
31,0,control,FTF,prod3,delayed,20,76,3,0
32,0,control,FTF,prod1,pre,31,50,3,1
33,0,control,FTF,prod1,pre,25,56,6,1
33,0,control,FTF,prod3,delayed,25,56,6,1
34,0,control,CMC,prod3,immediate,25,52,16,0
34,0,control,CMC,prod1,delayed,25,52,16,1
35,0,control,FTF,prod1,immediate,27,64,6,0
36,0,control,CMC,prod3,pre,18,68,18,0
36,0,control,CMC,prod1,immediate,18,68,18,0
37,0,control,FTF,prod1,immediate,26,94,7,0
38,0,control,FTF,prod2,pre,23,91,18,2
38,0,control,FTF,prod3,immediate,23,91,18,0
38,0,control,FTF,prod1,delayed,23,91,18,0
39,0,control,CMC,prod3,pre,36,60,16,4
39,0,control,CMC,prod1,delayed,36,60,16,2
40,0,control,CMC,prod3,pre,38,86,6,0
40,0,control,CMC,prod1,immediate,38,86,6,1
41,0,control,FTF,prod3,pre,27,64,14,1
41,0,control,FTF,prod1,immediate,27,64,14,0
41,0,control,FTF,prod2,delayed,27,64,14,3
42,0,control,FTF,prod1,immediate,25,41,6,0
42,0,control,FTF,prod2,delayed,25,41,6,0
45,0,control,CMC,prod3,delayed,30,64,6,0
46,0,control,FTF,prod2,pre,25,64,6,1
46,0,control,FTF,prod3,immediate,25,64,6,0
46,0,control,FTF,prod1,delayed,25,64,6,0
51,0,control,CMC,prod2,pre,21,70,5,0
51,0,control,CMC,prod1,immediate,21,70,5,0
51,0,control,CMC,prod3,delayed,21,70,5,0
52,0,control,CMC,prod3,immediate,31,83,18,1
52,0,control,CMC,prod2,delayed,31,83,18,4
53,0,control,CMC,prod1,pre,28,79,3,1
53,0,control,CMC,prod2,immediate,28,79,3,2
53,0,control,CMC,prod3,delayed,28,79,3,1
127,0,control,CMC,prod1,pre,28,74,6,0
127,0,control,CMC,prod2,immediate,28,74,6,0
129,0,control,FTF,prod2,pre,16,51,6,2
150,0,control,FTF,prod2,pre,34,97,16,2
150,0,control,FTF,prod3,immediate,34,97,16,0
150,0,control,FTF,prod1,delayed,34,97,16,0
151,0,control,FTF,prod1,pre,16,82,6,2
151,0,control,FTF,prod3,immediate,16,82,6,1
151,0,control,FTF,prod2,delayed,16,82,6,0
29,0,control,FTF,prod3,delayed,29,84,4,3
30,0,control,FTF,prod2,immediate,27,63,6,0
30,0,control,FTF,prod3,delayed,27,63,6,3
33,0,control,FTF,prod2,immediate,25,56,6,1
37,0,control,FTF,prod2,delayed,26,94,7,3
39,0,control,CMC,prod2,immediate,36,60,16,7
28,0,control,FTF,prod2,immediate,25,89,6,6
28,0,control,FTF,prod3,delayed,25,89,6,6
40,0,control,CMC,prod2,delayed,38,86,6,8
2,24,exp,FTF,prod1,pre,28,71,5,1
9,0,exp,FTF,prod3,pre,31,81,0,0
9,0,exp,FTF,prod2,immediate,31,81,0,1
9,0,exp,FTF,prod1,delayed,31,81,0,0
10,12,exp,FTF,prod2,pre,30,79,6,3
13,3,exp,FTF,prod3,pre,45,90,13,1
13,3,exp,FTF,prod1,immediate,45,90,13,5
16,26,exp,FTF,prod3,delayed,42,92,9,1
17,13,exp,FTF,prod1,pre,19,97,5,0
18,16,exp,FTF,prod2,pre,33,74,6,2
18,16,exp,FTF,prod3,immediate,33,74,6,4
18,16,exp,FTF,prod1,delayed,33,74,6,4
19,40,exp,FTF,prod2,pre,28,69,7,2
21,12,exp,FTF,prod2,pre,23,41,6,0
21,12,exp,FTF,prod1,delayed,23,41,6,0
22,3,exp,FTF,prod2,pre,15,70,2,0
23,36,exp,FTF,prod2,pre,32,77,1,0
23,36,exp,FTF,prod1,delayed,32,77,1,0
24,7,exp,FTF,prod1,pre,5,54,4,1
24,7,exp,FTF,prod3,immediate,5,54,4,0
24,7,exp,FTF,prod2,delayed,5,54,4,2
27,34,exp,FTF,prod1,pre,24,85,2,0
55,30,exp,FTF,prod2,pre,25,68,6,7
56,0,exp,FTF,prod3,pre,29,69,6,0
56,0,exp,FTF,prod1,delayed,29,69,6,0
101,72,exp,CMC,prod1,pre,29,78,16,0
102,51,exp,CMC,prod1,pre,20,79,5,0
105,20,exp,CMC,prod3,pre,17,52,5,0
108,38,exp,CMC,prod1,pre,37,84,8,0
110,43,exp,CMC,prod2,immediate,29,57,4,8
111,70,exp,CMC,prod2,pre,36,63,6,1
112,54,exp,CMC,prod3,pre,32,93,5,0
113,8,exp,CMC,prod3,pre,13,94,5,1
117,18,exp,CMC,prod2,pre,39,57,6,0
117,18,exp,CMC,prod3,immediate,39,57,6,3
117,18,exp,CMC,prod1,delayed,39,57,6,0
118,72,exp,CMC,prod2,pre,23,73,5,1
119,52,exp,CMC,prod2,pre,38,78,8,4
123,0,exp,CMC,prod3,immediate,25,56,5,0
124,18,exp,CMC,prod2,pre,36,84,6,0
125,2,exp,CMC,prod2,pre,10,69,5,3
131,58,exp,CMC,prod1,pre,35,50,4,1
1270,56,exp,CMC,prod3,pre,24,68,6,0
1290,61,exp,CMC,prod1,pre,41,74,6,1
1290,61,exp,CMC,prod3,delayed,41,74,6,5
1,3,exp,FTF,prod2,pre,40,74,6,1
2,24,exp,FTF,prod2,delayed,28,71,5,4
4,8,exp,FTF,prod3,delayed,40,87,5,0
5,19,exp,FTF,prod1,pre,35,46,6,0
6,46,exp,FTF,prod3,pre,33,68,14,0
