subject,verb,score,priming_amount,group,modality,test,trial_order,time,cloze,wmc,rec_pre
30,lose,0,0,control,FTF,prod1,5,a_pre,27,63,6
32,record,0,0,control,FTF,prod3,2,post1,31,50,3
32,organize,0,0,control,FTF,prod3,3,post1,31,50,3
32,display,0,0,control,FTF,prod3,4,post1,31,50,3
32,wash,0,0,control,FTF,prod3,5,post1,31,50,3
32,pump,0,0,control,FTF,prod3,6,post1,31,50,3
32,perform,0,0,control,FTF,prod3,7,post1,31,50,3
32,stack,0,0,control,FTF,prod3,8,post1,31,50,3
32,measure,0,0,control,FTF,prod3,9,post1,31,50,3
32,pour,0,0,control,FTF,prod3,10,post1,31,50,3
32,have,0,0,control,FTF,prod3,11,post1,31,50,3
32,wipe,0,0,control,FTF,prod3,12,post1,31,50,3
32,set,0,0,control,FTF,prod2,1,post2,31,50,3
32,store,0,0,control,FTF,prod2,8,post2,31,50,3
32,boil,0,0,control,FTF,prod2,9,post2,31,50,3
34,cut,0,0,control,CMC,prod2,7,a_pre,25,52,16
34,store,0,0,control,CMC,prod2,8,a_pre,25,52,16
34,boil,0,0,control,CMC,prod2,9,a_pre,25,52,16
34,vacuum,0,0,control,CMC,prod2,10,a_pre,25,52,16
34,scrub,0,0,control,CMC,prod2,11,a_pre,25,52,16
34,drink,0,0,control,CMC,prod2,12,a_pre,25,52,16
35,eat,0,0,control,FTF,prod3,1,a_pre,27,64,6
35,record,0,0,control,FTF,prod3,2,a_pre,27,64,6
35,organize,0,0,control,FTF,prod3,3,a_pre,27,64,6
35,display,0,0,control,FTF,prod3,4,a_pre,27,64,6
35,wash,0,0,control,FTF,prod3,5,a_pre,27,64,6
35,pump,0,0,control,FTF,prod3,6,a_pre,27,64,6
35,perform,0,0,control,FTF,prod3,7,a_pre,27,64,6
35,stack,0,0,control,FTF,prod3,8,a_pre,27,64,6
35,measure,0,0,control,FTF,prod3,9,a_pre,27,64,6
35,pour,0,0,control,FTF,prod3,10,a_pre,27,64,6
35,have,0,0,control,FTF,prod3,11,a_pre,27,64,6
35,wipe,0,0,control,FTF,prod3,12,a_pre,27,64,6
35,set,0,0,control,FTF,prod2,1,post2,27,64,6
35,select,0,0,control,FTF,prod2,2,post2,27,64,6
35,mount,0,0,control,FTF,prod2,3,post2,27,64,6
35,study,0,0,control,FTF,prod2,4,post2,27,64,6
35,hear,0,0,control,FTF,prod2,5,post2,27,64,6
35,sing,0,0,control,FTF,prod2,6,post2,27,64,6
35,cut,0,0,control,FTF,prod2,7,post2,27,64,6
35,store,0,0,control,FTF,prod2,8,post2,27,64,6
35,boil,0,0,control,FTF,prod2,9,post2,27,64,6
35,vacuum,0,0,control,FTF,prod2,10,post2,27,64,6
35,scrub,0,0,control,FTF,prod2,11,post2,27,64,6
35,drink,0,0,control,FTF,prod2,12,post2,27,64,6
36,drink,0,0,control,CMC,prod2,12,post2,18,68,18
37,eat,0,0,control,FTF,prod3,1,a_pre,26,94,7
37,organize,0,0,control,FTF,prod3,3,a_pre,26,94,7
42,eat,0,0,control,FTF,prod3,1,a_pre,25,41,6
43,mount,0,0,control,CMC,prod2,3,a_pre,28,73,12
43,study,0,0,control,CMC,prod2,4,a_pre,28,73,12
43,hear,0,0,control,CMC,prod2,5,a_pre,28,73,12
43,sing,0,0,control,CMC,prod2,6,a_pre,28,73,12
43,cut,0,0,control,CMC,prod2,7,a_pre,28,73,12
43,store,0,0,control,CMC,prod2,8,a_pre,28,73,12
43,boil,0,0,control,CMC,prod2,9,a_pre,28,73,12
43,vacuum,0,0,control,CMC,prod2,10,a_pre,28,73,12
43,scrub,0,0,control,CMC,prod2,11,a_pre,28,73,12
43,drink,0,0,control,CMC,prod2,12,a_pre,28,73,12
43,park,0,0,control,CMC,prod1,1,post1,28,73,12
43,harvest,0,0,control,CMC,prod1,2,post1,28,73,12
43,cover,0,0,control,CMC,prod1,3,post1,28,73,12
43,shave,0,0,control,CMC,prod1,4,post1,28,73,12
43,lose,0,0,control,CMC,prod1,5,post1,28,73,12
43,put,0,0,control,CMC,prod1,6,post1,28,73,12
43,learn,0,0,control,CMC,prod1,7,post1,28,73,12
43,change,0,0,control,CMC,prod1,8,post1,28,73,12
43,receive,0,0,control,CMC,prod1,9,post1,28,73,12
43,hang,0,0,control,CMC,prod1,10,post1,28,73,12
43,take,0,0,control,CMC,prod1,11,post1,28,73,12
43,cook,0,0,control,CMC,prod1,12,post1,28,73,12
43,eat,0,0,control,CMC,prod3,1,post2,28,73,12
43,record,0,0,control,CMC,prod3,2,post2,28,73,12
43,organize,0,0,control,CMC,prod3,3,post2,28,73,12
43,display,0,0,control,CMC,prod3,4,post2,28,73,12
43,wash,0,0,control,CMC,prod3,5,post2,28,73,12
43,pump,0,0,control,CMC,prod3,6,post2,28,73,12
43,perform,0,0,control,CMC,prod3,7,post2,28,73,12
43,stack,0,0,control,CMC,prod3,8,post2,28,73,12
43,measure,0,0,control,CMC,prod3,9,post2,28,73,12
43,pour,0,0,control,CMC,prod3,10,post2,28,73,12
43,have,0,0,control,CMC,prod3,11,post2,28,73,12
43,wipe,0,0,control,CMC,prod3,12,post2,28,73,12
45,change,0,0,control,CMC,prod1,8,a_pre,30,64,6
45,hear,0,0,control,CMC,prod2,5,post1,30,64,6
45,sing,0,0,control,CMC,prod2,6,post1,30,64,6
45,cut,0,0,control,CMC,prod2,7,post1,30,64,6
45,vacuum,0,0,control,CMC,prod2,10,post1,30,64,6
45,scrub,0,0,control,CMC,prod2,11,post1,30,64,6
45,drink,0,0,control,CMC,prod2,12,post1,30,64,6
47,study,0,0,control,CMC,prod2,4,a_pre,23,62,4
47,sing,0,0,control,CMC,prod2,6,a_pre,23,62,4
47,eat,0,0,control,CMC,prod3,1,post1,23,62,4
47,record,0,0,control,CMC,prod3,2,post1,23,62,4
47,organize,0,0,control,CMC,prod3,3,post1,23,62,4
47,display,0,0,control,CMC,prod3,4,post1,23,62,4
47,pump,0,0,control,CMC,prod3,6,post1,23,62,4
47,perform,0,0,control,CMC,prod3,7,post1,23,62,4
47,stack,0,0,control,CMC,prod3,8,post1,23,62,4
47,measure,0,0,control,CMC,prod3,9,post1,23,62,4
47,pour,0,0,control,CMC,prod3,10,post1,23,62,4
47,have,0,0,control,CMC,prod3,11,post1,23,62,4
47,wipe,0,0,control,CMC,prod3,12,post1,23,62,4
47,harvest,0,0,control,CMC,prod1,2,post2,23,62,4
47,learn,0,0,control,CMC,prod1,7,post2,23,62,4
47,hang,0,0,control,CMC,prod1,10,post2,23,62,4
47,take,0,0,control,CMC,prod1,11,post2,23,62,4
47,cook,0,0,control,CMC,prod1,12,post2,23,62,4
48,eat,0,0,control,FTF,prod3,1,a_pre,16,64,4
48,record,0,0,control,FTF,prod3,2,a_pre,16,64,4
48,organize,0,0,control,FTF,prod3,3,a_pre,16,64,4
48,display,0,0,control,FTF,prod3,4,a_pre,16,64,4
48,pump,0,0,control,FTF,prod3,6,a_pre,16,64,4
48,perform,0,0,control,FTF,prod3,7,a_pre,16,64,4
48,stack,0,0,control,FTF,prod3,8,a_pre,16,64,4
48,measure,0,0,control,FTF,prod3,9,a_pre,16,64,4
48,pour,0,0,control,FTF,prod3,10,a_pre,16,64,4
48,have,0,0,control,FTF,prod3,11,a_pre,16,64,4
48,wipe,0,0,control,FTF,prod3,12,a_pre,16,64,4
48,harvest,0,0,control,FTF,prod1,2,post1,16,64,4
48,cover,0,0,control,FTF,prod1,3,post1,16,64,4
48,shave,0,0,control,FTF,prod1,4,post1,16,64,4
48,lose,0,0,control,FTF,prod1,5,post1,16,64,4
48,put,0,0,control,FTF,prod1,6,post1,16,64,4
48,learn,0,0,control,FTF,prod1,7,post1,16,64,4
48,change,0,0,control,FTF,prod1,8,post1,16,64,4
48,receive,0,0,control,FTF,prod1,9,post1,16,64,4
48,hang,0,0,control,FTF,prod1,10,post1,16,64,4
48,take,0,0,control,FTF,prod1,11,post1,16,64,4
48,cook,0,0,control,FTF,prod1,12,post1,16,64,4
48,set,0,0,control,FTF,prod2,1,post2,16,64,4
48,hear,0,0,control,FTF,prod2,5,post2,16,64,4
49,eat,0,0,control,CMC,prod3,1,a_pre,28,83,6
49,record,0,0,control,CMC,prod3,2,a_pre,28,83,6
49,organize,0,0,control,CMC,prod3,3,a_pre,28,83,6
49,display,0,0,control,CMC,prod3,4,a_pre,28,83,6
49,wash,0,0,control,CMC,prod3,5,a_pre,28,83,6
49,pump,0,0,control,CMC,prod3,6,a_pre,28,83,6
49,perform,0,0,control,CMC,prod3,7,a_pre,28,83,6
49,stack,0,0,control,CMC,prod3,8,a_pre,28,83,6
49,measure,0,0,control,CMC,prod3,9,a_pre,28,83,6
49,pour,0,0,control,CMC,prod3,10,a_pre,28,83,6
49,have,0,0,control,CMC,prod3,11,a_pre,28,83,6
49,wipe,0,0,control,CMC,prod3,12,a_pre,28,83,6
49,set,0,0,control,CMC,prod2,1,post1,28,83,6
49,select,0,0,control,CMC,prod2,2,post1,28,83,6
49,mount,0,0,control,CMC,prod2,3,post1,28,83,6
49,study,0,0,control,CMC,prod2,4,post1,28,83,6
49,hear,0,0,control,CMC,prod2,5,post1,28,83,6
49,cut,0,0,control,CMC,prod2,7,post1,28,83,6
49,store,0,0,control,CMC,prod2,8,post1,28,83,6
49,boil,0,0,control,CMC,prod2,9,post1,28,83,6
49,vacuum,0,0,control,CMC,prod2,10,post1,28,83,6
49,scrub,0,0,control,CMC,prod2,11,post1,28,83,6
49,drink,0,0,control,CMC,prod2,12,post1,28,83,6
49,park,0,0,control,CMC,prod1,1,post2,28,83,6
49,harvest,0,0,control,CMC,prod1,2,post2,28,83,6
49,cover,0,0,control,CMC,prod1,3,post2,28,83,6
49,shave,0,0,control,CMC,prod1,4,post2,28,83,6
49,lose,0,0,control,CMC,prod1,5,post2,28,83,6
49,put,0,0,control,CMC,prod1,6,post2,28,83,6
49,learn,0,0,control,CMC,prod1,7,post2,28,83,6
49,change,0,0,control,CMC,prod1,8,post2,28,83,6
49,receive,0,0,control,CMC,prod1,9,post2,28,83,6
49,hang,0,0,control,CMC,prod1,10,post2,28,83,6
49,take,0,0,control,CMC,prod1,11,post2,28,83,6
49,cook,0,0,control,CMC,prod1,12,post2,28,83,6
50,measure,0,0,control,CMC,prod3,9,a_pre,22,75,4
50,set,0,0,control,CMC,prod2,1,post1,22,75,4
50,select,0,0,control,CMC,prod2,2,post1,22,75,4
50,mount,0,0,control,CMC,prod2,3,post1,22,75,4
50,study,0,0,control,CMC,prod2,4,post1,22,75,4
50,hear,0,0,control,CMC,prod2,5,post1,22,75,4
50,store,0,0,control,CMC,prod2,8,post1,22,75,4
50,boil,0,0,control,CMC,prod2,9,post1,22,75,4
50,vacuum,0,0,control,CMC,prod2,10,post1,22,75,4
50,scrub,0,0,control,CMC,prod2,11,post1,22,75,4
50,park,0,0,control,CMC,prod1,1,post2,22,75,4
50,harvest,0,0,control,CMC,prod1,2,post2,22,75,4
50,cover,0,0,control,CMC,prod1,3,post2,22,75,4
50,shave,0,0,control,CMC,prod1,4,post2,22,75,4
50,put,0,0,control,CMC,prod1,6,post2,22,75,4
